NIP,Full Name,Email,Phone,Address,Status
1980010112345678,Dr. Siti Nurhaliza,siti.nurhaliza@school.com,08123456789,Jl. Education No. 123,ACTIVE
1985010123456789,Drs. Ahmad Rahman,ahmad.rahman@school.com,08198765432,Jl. Knowledge No. 456,ACTIVE
1987030112345678,Prof. Maya Sari,maya.sari@school.com,08134567890,Jl. Wisdom No. 789,ACTIVE
1990010123456789,Dra. Rina Kusuma,rina.kusuma@school.com,08145678901,Jl. Learning No. 321,ACTIVE
1988020112345678,Dr. Budi Santoso,budi.santoso@school.com,08156789012,Jl. Science No. 654,ACTIVE
1986040112345678,Dra. Lisa Permata,lisa.permata@school.com,08167890123,Jl. Art No. 987,ACTIVE
1992030112345678,Drs. Rudi Hartono,rudi.hartono@school.com,08178901234,Jl. Sports No. 147,ACTIVE
1989050112345678,Dra. Nova Sari,nova.sari@school.com,08189012345,Jl. Music No. 258,ACTIVE
1991040112345678,Dr. Andi Wijaya,andi.wijaya@school.com,08190123456,Jl. Technology No. 369,ACTIVE
1987060112345678,Dra. Sinta Melati,sinta.melati@school.com,08101234567,Jl. Literature No. 741,ACTIVE
